image_name,entity_name,expected_value,extracted_value
61sx0ezNNLL.jpg,item_weight,1 kilogram,No match found
71ldprwbKrL.jpg,item_weight,10 kilogram,No match found
71E9iF-bmKL.jpg,item_weight,1 kilogram,No match found
71sWRp1SNwL.jpg,item_weight,2.2 pound,No match found
61Fwq4GeTmL.jpg,wattage,60.0 watt,No match found
61-oj+N+BxL.jpg,item_volume,30.0 millilitre,No match found
71e6kJLE+LL.jpg,item_volume,30.0 millilitre,No match found
71SuzaRS7gL.jpg,item_volume,30.0 millilitre,No match found
71nsfFCXF0L.jpg,item_volume,30.0 millilitre,No match found
71hgN7yu9OL.jpg,item_volume,30.0 millilitre,No match found
61SmT8pkLtL.jpg,item_weight,2 ounce,No match found
71ZtDgGX+iL.jpg,item_weight,8.1 gram,No match found
413FQB0ZMLL.jpg,item_weight,2 kilogram,No match found
41EjbFu-+yL.jpg,item_weight,10 kilogram,No match found
71dWDwMhWmS.jpg,item_weight,500.0 kilogram,No match found
61d6Kj80QSL.jpg,item_weight,200.0 gram,No match found
71bvOuz9w1L.jpg,item_weight,200.0 gram,No match found
71l0M0tMGjL.jpg,item_weight,200.0 gram,No match found
71Lpqdrpi4L.jpg,item_weight,200.0 gram,No match found
71jLIbCcwOL.jpg,item_weight,100.0 gram,No match found
718EdwGgyVL.jpg,item_weight,200.0 gram,No match found
713twQgCHSL.jpg,item_weight,5.0 kilogram,No match found
61I0O1qJbhS.jpg,item_weight,60.0 pound,No match found
61eOO5IW4NL.jpg,item_volume,3.0 cubic foot,No match found
716AQpAJjZL.jpg,item_weight,227 gram,No match found
71FVeRd2jqL.jpg,item_weight,100 gram,No match found
81njuNSPdjL.jpg,item_weight,190.0 gram,No match found
51xfRlxWIXL.jpg,item_weight,100.0 gram,No match found
71duwM3SjpL.jpg,item_weight,600 milligram,No match found
612xIhPMHqL.jpg,item_weight,3.2 gram,No match found
51b9JEHOriL.jpg,item_weight,6.5 gram,No match found
81lgxfKqUUL.jpg,item_weight,160.0 gram,No match found
814sAvV89SL.jpg,item_weight,42.0 gram,No match found
61cMeogK8gL.jpg,item_weight,26.0 gram,No match found
811VfR10yxL.jpg,wattage,0.55 watt,No match found
71WLYfmMqQL.jpg,item_weight,50.0 milligram,No match found
61Dq3LRei9L.jpg,item_weight,10.0 kilogram,No match found
71XK5d3Oh9L.jpg,wattage,49.0 watt,No match found
61kyBEJYDeL.jpg,item_weight,500 milligram,No match found
71uQmsTESvL.jpg,item_weight,500 milligram,No match found
71jG8BOi4WL.jpg,item_weight,16.0 gram,No match found
61390hosjFL.jpg,item_weight,8 kilogram,No match found
71PDbPb275L.jpg,item_volume,500.0 millilitre,No match found
71YiRw3e1lL.jpg,item_weight,3.0 pound,No match found
719poaEkdEL.jpg,item_weight,750.0 milligram,No match found
41njJJg-ANL.jpg,item_weight,8.0 gram,No match found
71qEriwsbIL.jpg,item_weight,23.0 gram,No match found
514M5CrBK4L.jpg,item_weight,9.8 gram,No match found
61qOr-yqaVL.jpg,item_weight,198.0 pound,No match found
61xxqfM2EwL.jpg,item_weight,9.0 kilogram,No match found
81yG9eUKvxL.jpg,item_weight,2.5 kilogram,No match found
61FMOl299lL.jpg,item_weight,50.0 gram,No match found
41Kn+YOyPjL.jpg,item_volume,10.0 millilitre,No match found
51q9OE6hfgL.jpg,item_volume,200.0 millilitre,No match found
51T1Kh7WWGL.jpg,item_weight,4.1 gram,No match found
71G8XyPqcIL.jpg,item_weight,9.2 gram,No match found
61Hhju+qn9L.jpg,item_weight,600.0 gram,No match found
51Alw-4+zJL.jpg,item_weight,20.0 kilogram,No match found
81l6zfwKG7L.jpg,item_weight,13.0 gram,No match found
71eATPu53YL.jpg,item_weight,13.0 gram,No match found
81R8CrWXthL.jpg,item_weight,1000.0 milligram,No match found
71qiWPgPcUS.jpg,item_weight,264.0 gram,No match found
81nyHjPXg-L.jpg,item_weight,34 kilogram,No match found
71EREAIkJZS.jpg,item_weight,72.57 gram,No match found
61bpzE0p4yL.jpg,item_weight,100 gram,No match found
71yqAwAikaL.jpg,item_weight,180 gram,No match found
61431aMH6cL.jpg,item_weight,180 gram,No match found
71lxjbXw9bL.jpg,item_weight,180 gram,No match found
71cziTM6TfL.jpg,item_weight,180 gram,No match found
71Btb49O2dL.jpg,item_weight,180 gram,No match found
51QhV+Ox86L.jpg,item_weight,33 gram,No match found
51ArM1PP7WL.jpg,item_weight,8.0 gram,No match found
51F+K7Zx9fL.jpg,item_weight,1.77 ounce,No match found
51u2vv6e8yL.jpg,item_weight,350.0 gram,No match found
71PexaOBvoL.jpg,item_weight,567.0 gram,No match found
81uHTyMDa7L.jpg,item_weight,567.0 gram,No match found
81x+p0LzKbL.jpg,item_weight,567.0 gram,No match found
71kCYzCu0UL.jpg,item_weight,567.0 gram,No match found
81F2B83meFL.jpg,item_weight,567.0 gram,No match found
71KFQ3qt4gL.jpg,item_weight,567.0 gram,No match found
71Oo4M3ApxL.jpg,wattage,60.0 watt,No match found
71Oo4M3ApxL.jpg,voltage,"[100.0, 240.0] volt",No match found
61lE-I9cVuL.jpg,item_volume,25.0 millilitre,No match found
71+FvzD14RL.jpg,item_weight,2.4 kilogram,No match found
414maJ3RUML.jpg,item_weight,25 kilogram,No match found
7158CO+v3kL.jpg,item_weight,50.0 kilogram,No match found
71NoP+8HnqS.jpg,item_weight,263.0 gram,No match found
51K0v0zo-wL.jpg,item_weight,250.0 gram,No match found
51H6vfyBqML.jpg,item_weight,250.0 gram,No match found
81gzy3-ZlML.jpg,item_weight,200 gram,No match found
71mKPQGo8wL.jpg,item_weight,1.8 kilogram,No match found
81puuiKhs5L.jpg,item_weight,800.0 gram,No match found
61CLKFwJa4L.jpg,item_weight,24.8 gram,No match found
615v9WaUIuL.jpg,item_weight,4.0 kilogram,No match found
71P0BToikAL.jpg,item_volume,"[8.0, 12.0] fluid ounce",No match found
61HisZt9hcL.jpg,item_weight,3.59 kilogram,No match found
81JGAcnf39L.jpg,voltage,12.0 volt,No match found
31o8WywVeTL.jpg,item_weight,7 gram,No match found
61Ik5NY4ExL.jpg,item_weight,9.8 gram,No match found
71pKB7-3itL.jpg,item_volume,16.0 fluid ounce,No match found
71PGzqxh-EL.jpg,item_weight,3.8 gram,No match found
71uqF3qqsuL.jpg,item_weight,0.45 kilogram,No match found
61vdMgkasML.jpg,item_weight,70.5 pound,No match found
81xeFGugw6L.jpg,voltage,12.0 volt,No match found
71Ye12U8zRL.jpg,voltage,12.0 volt,No match found
61UjKZyijBL.jpg,voltage,12.0 volt,No match found
61v1IQDiIbL.jpg,voltage,12.0 volt,No match found
71WffHaS-QL.jpg,item_weight,1.87 pound,No match found
61mLRVKOr3L.jpg,item_weight,125.0 gram,No match found
619W5ruX5xL.jpg,item_weight,21.0 gram,No match found
51YZWIRgY0L.jpg,item_weight,30.0 gram,No match found
81Qf73SxLaL.jpg,voltage,"[85.0, 265.0] volt",No match found
81cEIIPti-L.jpg,item_volume,4.0 fluid ounce,No match found
71ciI6RbOqL.jpg,item_volume,4.0 fluid ounce,No match found
816L-kPJGyL.jpg,item_volume,4.0 fluid ounce,No match found
7185b+0uzML.jpg,item_volume,0.7 millilitre,No match found
7185b+0uzML.jpg,item_weight,679.0 milligram,No match found
71In1fvGSwL.jpg,item_volume,4.0 fluid ounce,No match found
8146TN-qDgL.jpg,item_weight,500.0 gram,No match found
71bA7Tj2y5L.jpg,item_weight,15.0 kilogram,No match found
51ZpARXmu+L.jpg,wattage,8.0 watt,No match found
81ZyvlRczjL.jpg,item_weight,175.0 kilogram,No match found
81zuZujBfyL.jpg,item_weight,175.0 kilogram,No match found
71mi7h+tZmL.jpg,item_weight,1.0 gram,No match found
71A7RiB2IIS.jpg,wattage,100.0 watt,No match found
61UkMSPhLSS.jpg,wattage,100.0 watt,No match found
616QEdZeLGL.jpg,wattage,100.0 watt,No match found
61nvPvyO7kL.jpg,wattage,100.0 watt,No match found
71ihnkVAoCL.jpg,item_weight,460.0 gram,No match found
51WaQdTFyhL.jpg,wattage,3.0 watt,No match found
71k9HXFp5VL.jpg,item_weight,23.0 kilogram,No match found
81hbfdu3UaL.jpg,item_volume,3.0 millilitre,No match found
815pYcvCCeL.jpg,item_weight,300.0 gram,No match found
615roHaokEL.jpg,item_weight,100.0 gram,No match found
71JXfZLNJjL.jpg,item_weight,22.0 gram,No match found
71yQq9I3yzL.jpg,item_weight,3.0 gram,No match found
718M5ODio0L.jpg,item_weight,3.0 gram,No match found
61lpwH0qHbL.jpg,item_weight,3.0 gram,No match found
712sZRVe98L.jpg,item_weight,2.0 ton,No match found
71d+dz7ogkL.jpg,maximum_weight_recommendation,15 kilogram,No match found
51WSQa1ygML.jpg,item_weight,14.8 gram,No match found
71QR6ELoPnL.jpg,item_weight,4.4 pound,No match found
71cO37WLcCL.jpg,item_weight,4.4 pound,No match found
71k0T1lkazL.jpg,maximum_weight_recommendation,350 pound,No match found
61qfHDESRQL.jpg,item_weight,4.5 gram,No match found
61QC4Kt6FgL.jpg,item_weight,4.5 gram,No match found
81+ZDpWM6aL.jpg,item_volume,1977.0 decilitre,No match found
711unoPoAUL.jpg,item_weight,120.0 gram,No match found
91yjUjUz1PL.jpg,item_volume,100.0 millilitre,No match found
61iyjkBOWwL.jpg,item_volume,100.0 millilitre,No match found
81bWfMuySqL.jpg,item_volume,100.0 millilitre,No match found
81cNMlJ3rUL.jpg,item_weight,40.0 gram,No match found
71V8xeIdY8L.jpg,item_weight,0.0 gram,No match found
81QVNxEt5jL.jpg,item_weight,40.0 gram,No match found
61rzdBIml6S.jpg,item_weight,60.0 gram,No match found
71XLo+kfY4S.jpg,item_weight,60.0 gram,No match found
61GnRPsq7eS.jpg,item_weight,390 gram,No match found
71L-+M3VVPL.jpg,item_weight,"[25.0, 30.0] pound",No match found
81OX3LrynvL.jpg,maximum_weight_recommendation,120 kilogram,No match found
71CgwBBpm2L.jpg,item_weight,5.0 gram,No match found
61uEVvHFcnL.jpg,item_weight,5.0 gram,No match found
6186qz73QDL.jpg,item_volume,2.55 cubic inch,No match found
51-GFfHUt5L.jpg,item_weight,100 gram,No match found
71wManz+q7L.jpg,item_weight,100.0 gram,No match found
71rBE9Nt9sL.jpg,item_weight,100.0 gram,No match found
61NpAba1eLL.jpg,item_weight,2.6 gram,No match found
81GfAC59d9L.jpg,item_weight,7.9 kilogram,No match found
71BkkuPYJFL.jpg,item_weight,150.0 kilogram,No match found
61k7TzX5kYL.jpg,item_weight,0.9 kilogram,No match found
81hGUpAFNJL.jpg,voltage,7.0 volt,No match found
71iSbwHDcdL.jpg,voltage,"[175.0, 265.0] volt",No match found
81BxHI-QPIL.jpg,item_weight,2.82 ounce,No match found
71WaRSgdUyL.jpg,item_weight,16.0 gram,No match found
61cEFL6Y49L.jpg,item_weight,132.0 gram,No match found
817S4LJR21L.jpg,item_weight,77.0 gram,No match found
81V9hFKQT4L.jpg,item_weight,77.0 gram,No match found
81i7biHKFUL.jpg,item_weight,100.0 gram,No match found
9146CDDyS1L.jpg,item_weight,100.0 gram,No match found
61zbBwJJ86L.jpg,item_weight,25 gram,No match found
61g2MIPw-SL.jpg,item_weight,25 gram,No match found
61rViW3qEDL.jpg,item_weight,25 gram,No match found
41fYovCueJL.jpg,item_weight,150 gram,No match found
61dL1hqmPTL.jpg,item_weight,150 gram,No match found
61ErAvSUnML.jpg,item_weight,150 gram,No match found
41J6cTfYEJL.jpg,item_weight,150 gram,No match found
51FHIAeaWpL.jpg,item_weight,150 gram,No match found
51egZNPkbmL.jpg,item_weight,150 gram,No match found
61ptgk7Z6NL.jpg,item_weight,200 gram,No match found
61mR0nvTi2L.jpg,item_weight,2460.0 gram,No match found
71kKyflqh-L.jpg,maximum_weight_recommendation,7 kilogram,No match found
81jraWFAHEL.jpg,item_weight,6.0 ton,No match found
61q8BFKyG5L.jpg,item_weight,2.5 kilogram,No match found
711pKODV8fL.jpg,wattage,60.0 watt,No match found
818ZG7g9hHL.jpg,wattage,21.6 watt,No match found
818ZG7g9hHL.jpg,voltage,240.0 volt,No match found
719SXCcE+yL.jpg,item_weight,1300.0 gram,No match found
71KGqjaeU3L.jpg,voltage,120.0 volt,No match found
81pIxwIlH1L.jpg,item_weight,22.0 gram,No match found
81dTA+JL8hL.jpg,item_weight,22.0 gram,No match found
91YXnPoBr9L.jpg,item_weight,22.0 gram,No match found
61ssSqT8LBL.jpg,item_weight,2022.0 gram,No match found
71rMtEbiU2L.jpg,item_weight,220.0 gram,No match found
71DngBpcvfL.jpg,item_weight,220.0 gram,No match found
81eYKrxwPeL.jpg,item_weight,240.0 gram,No match found
41yG6r50SGL.jpg,item_weight,47.0 gram,No match found
61CKA8YZZQL.jpg,item_weight,11 pound,No match found
71GGzJw4lJL.jpg,item_weight,5 kilogram,No match found
71s4ixwJ35L.jpg,item_weight,6.6 pound,No match found
61oJbgINwyL.jpg,item_weight,3 kilogram,No match found
71xNXOBXbeL.jpg,item_weight,6.6 pound,No match found
81ILq5SlokL.jpg,item_weight,5 kilogram,No match found
61qBC3QCpKL.jpg,item_weight,3 kilogram,No match found
41jz25vrqpL.jpg,item_weight,9 gram,No match found
81fRIl3bhHL.jpg,item_weight,18.0 ounce,No match found
61ZcOamhAXL.jpg,item_weight,0.13 pound,No match found
6179WU7pPnL.jpg,item_weight,0.41 kilogram,No match found
711UcLF1AOL.jpg,item_weight,2.0 pound,No match found
71bEyocs6cL.jpg,item_weight,2.0 pound,No match found
81P0F4kSO5L.jpg,item_weight,38.0 gram,No match found
61xt0+F24LL.jpg,item_weight,50.0 gram,No match found
41o+Ah16aOL.jpg,item_weight,50.0 gram,No match found
61t+5wQl08L.jpg,item_weight,500.0 milligram,No match found
61jznP3TP-L.jpg,item_weight,50.0 gram,No match found
41UtmzUICML.jpg,item_weight,76.0 ounce,No match found
71N+e+6NXUL.jpg,item_weight,150.0 gram,No match found
71wSp5zkmOL.jpg,item_weight,13.0 gram,No match found
61dRC9mLuLL.jpg,item_weight,150.0 gram,No match found
718Y1zul73L.jpg,item_weight,2.1 pound,No match found
61HmWvlaCgS.jpg,item_weight,0.0 pound,No match found
61hmMEg2+JL.jpg,item_weight,40.0 gram,No match found
717jdsjET2S.jpg,item_weight,30.0 gram,No match found
71UctMVz2wL.jpg,item_weight,1.43 pound,No match found
71Y2sN5CZ2L.jpg,item_weight,200.0 kilogram,No match found
71TIH9xp14L.jpg,item_weight,260.0 gram,No match found
51MfQdcFO4L.jpg,wattage,20.0 watt,No match found
61IZwm4favL.jpg,item_weight,4.0 gram,No match found
71Cpa4ITxCL.jpg,item_weight,23.0 kilogram,No match found
71XKEn+9WSL.jpg,item_weight,0.0 ounce,No match found
71Yl8r0WgHL.jpg,maximum_weight_recommendation,12.0 ounce,No match found
71VHlwzHsIL.jpg,item_weight,34.5 gram,No match found
81aU1hA-LKL.jpg,item_weight,60.0 gram,No match found
911ddalhbYL.jpg,item_weight,4.0 pound,No match found
71CPTuB3GzL.jpg,item_weight,32.0 gram,No match found
61ZR+zqTeFL.jpg,item_weight,32.0 gram,No match found
71IqOdJNJ0L.jpg,item_weight,13.5 ounce,No match found
812RLyHuZgL.jpg,item_weight,7.0 ounce,No match found
61nQgfAzcjL.jpg,item_weight,15.9 gram,No match found
51LXZCTnMuL.jpg,item_weight,35.3 gram,No match found
71PKpcLG-3L.jpg,item_weight,10 kilogram,No match found
71om5sNcHSL.jpg,item_weight,10 kilogram,No match found
51iLFnog-TL.jpg,item_weight,200 gram,No match found
71ZTyrP+83L.jpg,item_weight,100 gram,No match found
71IXiyI6MgL.jpg,item_weight,315.0 gram,No match found
71as9Ior9hL.jpg,item_weight,22.0 gram,No match found
71MG6eEeFZS.jpg,voltage,18.0 volt,No match found
81uaGW5FXGL.jpg,item_weight,4.0 gram,No match found
81flV4kwOwL.jpg,item_weight,8.0 ounce,No match found
51xK4g4F03S.jpg,voltage,240.0 volt,No match found
51R15QuIuyL.jpg,voltage,12.0 volt,No match found
51vgDwEY7xL.jpg,voltage,12.0 volt,No match found
81JoUrtkpmL.jpg,item_volume,1.69 fluid ounce,No match found
81VXdzB0RVL.jpg,item_volume,64.0 fluid ounce,No match found
819iiEopcWL.jpg,item_volume,8.0 fluid ounce,No match found
81OYyqNGOmL.jpg,item_volume,8.0 fluid ounce,No match found
91zZGVgZh+L.jpg,item_weight,13.0 ton,No match found
71U6lF5xVsL.jpg,voltage,"[220.0, 240.0] volt",No match found
81-qTUhd0eL.jpg,wattage,1000.0 watt,No match found
81MuNrz5V4L.jpg,wattage,800.0 watt,No match found
51PKOVajYoL.jpg,item_weight,4.4 gram,No match found
71FO3i3r+US.jpg,item_weight,750 gram,No match found
71r5a-F3-BS.jpg,item_weight,750 gram,No match found
81mBfsyl+DL.jpg,item_weight,123.0 gram,No match found
714cnffNW3L.jpg,item_weight,123.0 gram,No match found
81DMfLssTwL.jpg,item_weight,123.0 gram,No match found
81M9xG3reDL.jpg,item_weight,123.0 gram,No match found
71BqZJVE4kL.jpg,item_weight,123.0 gram,No match found
81L5qqZU1NL.jpg,item_weight,8.0 ounce,No match found
717z1HKi8oL.jpg,item_weight,123.0 gram,No match found
71J+30S5EDL.jpg,item_weight,200 gram,No match found
71A2oqx3rmL.jpg,item_weight,56 gram,No match found
91-tHcMlZzL.jpg,item_weight,320.0 gram,No match found
71NFYx8fBXL.jpg,item_weight,320.0 gram,No match found
61vlGd51PeL.jpg,item_weight,0.88 pound,No match found
61ZBhPKQ2xL.jpg,item_weight,8.0 gram,No match found
51zeZBf-HcL.jpg,voltage,36.0 volt,No match found
616boDUl2HL.jpg,item_weight,1440 milligram,No match found
61Q-ggen5XL.jpg,item_weight,1.6 gram,No match found
8190fwx-OdL.jpg,item_weight,1.2 gram,No match found
41CKvM8JV7L.jpg,item_weight,14.0 gram,No match found
71THO4WNG-L.jpg,item_weight,590.0 gram,No match found
71J-AA3BW3L.jpg,item_weight,100.0 kilogram,No match found
81PcR51hbUL.jpg,item_weight,50.0 ton,No match found
717XYkhGpKL.jpg,item_weight,276.0 gram,No match found
61ezcEdeQcL.jpg,item_weight,400.0 milligram,No match found
61gjCs2yeCL.jpg,item_weight,90.0 gram,No match found
51E+rGvwO0L.jpg,wattage,24.0 watt,No match found
811QUiTwekL.jpg,item_volume,8.0 fluid ounce,No match found
71iifNw7WkL.jpg,item_weight,165.0 pound,No match found
51YdPlXffPL.jpg,item_volume,2007.0 gallon,No match found
51eGoOSfx4L.jpg,item_volume,2006.0 gallon,No match found
61Fxk72idwL.jpg,item_volume,2007.0 gallon,No match found
61cNUSZr+EL.jpg,item_weight,2.5 gram,No match found
41egkCDTTML.jpg,item_weight,100.0 gram,No match found
6183amP6LdL.jpg,item_weight,3.52 ounce,No match found
61NpoOFjk6L.jpg,item_weight,100 gram,No match found
61DnguuYwbL.jpg,item_weight,3.52 ounce,No match found
71khUZBj+4L.jpg,item_weight,100 gram,No match found
715DgMR-hkL.jpg,item_weight,10.5 kilogram,No match found
81xqMNmhEpL.jpg,maximum_weight_recommendation,300 kilogram,No match found
51En0fgN73L.jpg,item_weight,70 gram,No match found
81CYds5q79L.jpg,item_weight,70 gram,No match found
81ssfOL5b-L.jpg,item_weight,70 gram,No match found
61E9-xj8ciL.jpg,item_weight,3.52 ounce,No match found
617Jckaf62L.jpg,item_weight,100 gram,No match found
71RjWH103nS.jpg,item_weight,200 gram,No match found
51Ak7GKuiLL.jpg,item_weight,200 gram,No match found
71BTB4+8bWL.jpg,item_weight,0 gram,No match found
717izgnf0qL.jpg,item_weight,0 gram,No match found
918PpLvmRHL.jpg,item_weight,60 gram,No match found
71KQtc1rA6L.jpg,item_weight,11.7 gram,No match found
71DwqzSrFCL.jpg,item_weight,11.7 gram,No match found
61BmXdBPeAL.jpg,item_weight,120.0 gram,No match found
61EZUdXT3vL.jpg,item_weight,0.51 kilogram,No match found
41-GUSWgzWL.jpg,wattage,72.0 watt,No match found
41zNB8ZshmL.jpg,item_volume,200.0 millilitre,No match found
611UdEWakYL.jpg,item_weight,7.5 gram,No match found
71xH9zWYDXL.jpg,item_weight,120.0 kilogram,No match found
81yGnWN1gpL.jpg,item_weight,4.0 kilogram,No match found
71iJwszcKmL.jpg,item_weight,4.0 kilogram,No match found
814zl+0TMJL.jpg,item_weight,2.0 gram,No match found
41fX-OWziML.jpg,wattage,54.0 watt,No match found
71uSbcePMFL.jpg,item_weight,400.0 gram,No match found
4147dGptveL.jpg,item_weight,100.0 gram,No match found
616vBbocrvL.jpg,voltage,12.0 volt,No match found
814BwteCiwL.jpg,voltage,12.0 volt,No match found
81k08BRlQdL.jpg,item_weight,271.0 gram,No match found
51ZPy1PgAnL.jpg,item_weight,20.0 gram,No match found
81cXf6HnPWL.jpg,item_weight,271.0 gram,No match found
716Gw2+1EzL.jpg,item_weight,35.0 gram,No match found
71JCDu6h05S.jpg,item_weight,154 pound,No match found
71oiYZsDN2L.jpg,item_weight,2601 pound,No match found
718QeeH3QyL.jpg,item_weight,14.5 gram,No match found
81xiCm7XYWL.jpg,item_weight,565.0 gram,No match found
71qMt6EnwlL.jpg,item_weight,240.0 gram,No match found
612WwnwSEzL.jpg,item_weight,300.0 milligram,No match found
61MGk3PsxcL.jpg,item_weight,300.0 milligram,No match found
61e7EW6lRvL.jpg,item_weight,3.5 ounce,No match found
7104ARm7I-L.jpg,maximum_weight_recommendation,440.0 pound,No match found
71V3-MUsc6L.jpg,item_weight,32.0 gram,No match found
71Eszh9j23L.jpg,item_weight,32.0 gram,No match found
71guQr5cqaL.jpg,item_weight,454.0 gram,No match found
71cmBtqE8NL.jpg,item_weight,1.0 ounce,No match found
71C4XXPcZ3L.jpg,item_weight,454.0 gram,No match found
61L4wjI4YEL.jpg,maximum_weight_recommendation,6.0 ton,No match found
410gyMVw-UL.jpg,item_weight,96.0 gram,No match found
81ZWxc+sUML.jpg,item_weight,900.0 gram,No match found
71dl7T4AWKL.jpg,wattage,66.0 watt,No match found
61DHSHAPVLL.jpg,item_weight,24.0 gram,No match found
71u9qpY7TtL.jpg,item_weight,2.0 kilogram,No match found
81TYV2TkiGL.jpg,item_weight,500.0 gram,No match found
71c-++zgVxL.jpg,item_weight,423.0 gram,No match found
71c0GP5KuPL.jpg,item_weight,70.0 kilogram,No match found
51KGPCaOwyL.jpg,item_weight,143.0 gram,No match found
71ws-E5lBtL.jpg,item_weight,0.45 ounce,No match found
51DnP-sc-YL.jpg,item_weight,44115.0 ton,No match found
61sYpkCc8gL.jpg,item_volume,1.0 litre,No match found
71LlzAFiptL.jpg,voltage,36.0 volt,No match found
71pvXAM5PWL.jpg,voltage,36.0 volt,No match found
71pvXAM5PWL.jpg,wattage,250.0 watt,No match found
811zQczlePL.jpg,item_weight,100.0 gram,No match found
81cjPJpZ3-L.jpg,item_weight,100.0 gram,No match found
616k4sH4pZL.jpg,wattage,20.0 watt,No match found
51+N63vjwWL.jpg,item_weight,10.7 gram,10.7g
71w+ZJKvGML.jpg,item_weight,10.0 ounce,No match found
51ewovtbRtL.jpg,item_weight,130.0 gram,130g
819v28pzDoL.jpg,item_weight,1.8 ounce,No match found
81yidnjAQ+L.jpg,item_weight,1.8 ounce,No match found
71D81Xct+vL.jpg,item_weight,15 gram,No match found
7107fyOBRRL.jpg,item_weight,600 milligram,600 m
71ubk42imPL.jpg,maximum_weight_recommendation,15 pound,No match found
41wv12SiMUS.jpg,item_weight,5.3 gram,5.3g
719tUNMxONL.jpg,item_weight,250 gram,No match found
616AZ2LXWAL.jpg,item_weight,12.3 kilogram,No match found
51xoa3bRhDL.jpg,item_weight,50 gram,No match found
61AqXby8G4L.jpg,item_weight,18.0 gram,No match found
71-9z6AVvPL.jpg,item_weight,14.5 kilogram,14.5kg
81gL5mNlN8L.jpg,item_weight,63 gram,No match found
71EhZZVhi2L.jpg,item_weight,8.7 gram,No match found
81cYIj47SPL.jpg,voltage,24.0 volt,No match found
91rFLNmJC4L.jpg,item_weight,100 gram,100g
61fUGb1nYML.jpg,item_weight,4.8 gram,4.8g
61o8MpHHsnL.jpg,item_weight,450.0 kilogram,No match found
71s5Tk5r4tL.jpg,item_weight,360.0 milligram,No match found
61SsfLTCHcL.jpg,item_weight,2.98 pound,No match found
